"""'Runtime OS""","""'Failure rate""","""'Avg job run time""","""'Avg job queue time""","""'Job runs"""
"""'linux""",0.10860782881271526,25590,2330,73
"""'linux""",0.09875918034592944,25615,2331,66
"""'linux""",0.10629897716847332,25553,2215,69
"""'linux""",0.09804612238664075,25410,2313,63
"""'linux""",0.0935868267486974,24700,2293,65
"""'linux""",0.1014899837742344,25172,2281,62
"""'linux""",0.09714085617762575,24883,2178,67
"""'linux""",0.0910522634701108,24566,2222,71
"""'linux""",0.09982444599033138,25357,1951,68
"""'linux""",0.08913648385430692,25284,2076,69
"""'linux""",0.09064997320690314,25100,2044,68
"""'linux""",0.09139934828471027,24715,2145,72
"""'linux""",0.0869564513756742,25012,2120,69
"""'linux""",0.09284511630404811,24604,2187,72
"""'linux""",0.08867248422633198,24680,2385,76
"""'linux""",0.090510360134145,24334,2251,79
"""'linux""",0.10093536067609196,24845,2320,82
"""'linux""",0.09072970330667984,24825,2280,71
"""'linux""",0.08585698143717493,24510,2305,76
